ID	CHARACTER	PINYIN	DOCULECT	PHONETIC_CLASS	KARLGREN_ID	READING	SOURCE
1	可	kě	Old_Chinese	0001	0001a		Karlgren1954
2	可	kě	Middle_Chinese		0001a	khaX	Wikibooks2016a
3	柯	kē	Old_Chinese	0001	0001d		Karlgren1954
4	柯	kē	Middle_Chinese		0001d	ka	Wikibooks2016a
5	笴	gǎn	Old_Chinese	0001	0001e		Karlgren1954
6	笴	gǎn	Middle_Chinese		0001e	kanX	Wikibooks2016a
7	笴	gǎn	Middle_Chinese		0001e	kaX	Wikibooks2016a
8	何	hé	Old_Chinese	0001	0001f		Karlgren1954
9	何	hé	Middle_Chinese		0001f	ha	Wikibooks2016a
10	何	hé	Middle_Chinese		0001f	haX	Wikibooks2016a
11	河	hé	Old_Chinese	0001	0001g		Karlgren1954
12	河	hé	Middle_Chinese		0001g	ha	Wikibooks2016a
13	苛	kē	Old_Chinese	0001	0001i		Karlgren1954
14	苛	kē	Middle_Chinese		0001i	ha	Wikibooks2016a
15	呵	ā	Old_Chinese	0001	0001j		Karlgren1954
16	呵	ā	Middle_Chinese		0001j	xa	Wikibooks2016a
17	訶	hē	Old_Chinese	0001	0001k		Karlgren1954
18	訶	hē	Middle_Chinese		0001k	xa	Wikibooks2016a
19	阿	ā	Old_Chinese	0001	0001m		Karlgren1954
20	阿	ā	Middle_Chinese		0001m	'a	Wikibooks2016a
21	㫊	yǐ	Old_Chinese	0001	0001n		Karlgren1954
22	㫊	yǐ	Middle_Chinese		0001n	'aX	Wikibooks2016a
23	㫊	yǐ	Middle_Chinese		0001n	'jeX	Wikibooks2016a
24	荷	hé	Old_Chinese	0001	0001o		Karlgren1954
25	荷	hé	Middle_Chinese		0001o	ha	Wikibooks2016a
26	哥	gē	Old_Chinese	0001	0001p		Karlgren1954
27	哥	gē	Middle_Chinese		0001p	ka	Wikibooks2016a
28	歌	gē	Old_Chinese	0001	0001q		Karlgren1954
29	歌	gē	Middle_Chinese		0001q	ka	Wikibooks2016a
30	謌	gē	Old_Chinese	0001	0001r		Karlgren1954
31	謌	gē	Middle_Chinese		0001r	ka	Wikibooks2016a
32	奇	qí	Old_Chinese	0001	0001s		Karlgren1954
33	奇	qí	Middle_Chinese		0001s	gje	Wikibooks2016a
34	奇	qí	Middle_Chinese		0001s	kje	Wikibooks2016a
35	琦	qí	Old_Chinese	0001	0001t		Karlgren1954
36	琦	qí	Middle_Chinese		0001t	gje	Wikibooks2016a
37	騎	qí	Old_Chinese	0001	0001u		Karlgren1954
38	騎	qí	Middle_Chinese		0001u	gje	Wikibooks2016a
39	錡	qí	Old_Chinese	0001	0001v		Karlgren1954
40	錡	qí	Middle_Chinese		0001v	gje	Wikibooks2016a
41	錡	qí	Middle_Chinese		0001v	gjeX	Wikibooks2016a
42	錡	qí	Middle_Chinese		0001v	ngjeX	Wikibooks2016a
43	寄	jì	Old_Chinese	0001	0001x		Karlgren1954
44	寄	jì	Middle_Chinese		0001x	kjeH	Wikibooks2016a
45	掎	jǐ	Old_Chinese	0001	0001y		Karlgren1954
46	掎	jǐ	Middle_Chinese		0001y	kjeX	Wikibooks2016a
47	畸	jī	Old_Chinese	0001	0001z		Karlgren1954
48	畸	jī	Middle_Chinese		0001z	kje	Wikibooks2016a
49	羇	jī	Old_Chinese	0001	0001a'		Karlgren1954
50	羇	jī	Middle_Chinese		0001a'	kje	Wikibooks2016a
